Date,Waist,Weight
2021-07-19,,85.0
2021-07-29,,84.0
2021-08-03,,83.0
2021-08-10,,82.0
2021-08-18,,81.0
2021-08-20,,80.0
2021-08-22,,81.0
2021-08-23,,82.1
2021-08-30,,81.0
2021-08-31,95.5,
2021-09-06,,79.7
